username,price,avg_likes,avg_comments,followers
danestani_rooz,4830000,74236.9,2517.9,6192507
mohamadaminkarimpor,33000000,141943.4,8553.2,5061518
cook.mag,4174500,101952.7,1001.9,4858879
banooye_khone,3018750,64218.1,526.0,4208707
varzesh3,1102500,34381.8,684.9,4159199
Shekamoo_haa,2530000,51850.8,597.1,4020188
khoda,3885000,119791.8,5441.3,3509971
Whats.fact,2695000,39713.7,936.3,3343264
beauti.mag,1320000,34844.0,851.8,3147016
hashiyeh,1244250,38957.0,1067.2,3155138
Play.ir,2068000,38557.8,508.5,3074653
sosfact,385000,6401.3,127.4,5674536
salade.shik,1375000,75670.7,621.7,2761885
dokhtaranmod,1012000,12184.7,243.7,2366965
danestani_pezeshki,891000,30528.7,752.8,2312155
hidden__worlds,885500,40810.0,1489.0,2293868
zhuaan,1518000,45520.0,1480.3,2282329
doctor_khabar,610500,50861.8,1121.7,2238203
nasle20,945000,25586.0,329.7,2214312
_aghoshe_to,2200000,68340.8,830.6,2300247
music.beruz,885500,19821.6,716.5,2099490
3kansbartar,1133000,48114.4,311.1,2167136
ashpazi_khob,1100000,9723.1,156.7,2055121
BesTV.shows,1265000,23448.7,262.5,1978203
top_mixx,1386000,13199.2,158.6,2001518
majaleye_banovan,1320000,16569.0,276.7,1898104
raze_jahan,821700,45311.7,1423.1,1886138
bedaanim,1248500,23139.0,149.1,1866362
bazigaran.iraani,513700,5354.0,96.1,1874649
hashiyeh_plus,792000,18549.6,365.6,1847175
Dr_holakoue,825000,27273.0,371.7,1849980
hamedtabriziii,11000000,384564.2,309455.0,2990064
Asheghaneha_,495000,24914.7,553.7,1829499
Hashiye.news,1045000,529.5,8.6,1787211
ketab_am,2415000,60486.7,758.9,1712644
wonders237,1507000,24487.6,134.6,1716310
Irani,605000,21936.7,513.7,1690113
khalagh_banu,275000,3338.8,83.6,1650057
Aroose_mashreghi,110000,1551.8,17.4,1642833
unco.fact,759000,12877.0,841.0,1628587
clipcartooni,880000,4564.6,41.9,1647279
Klonomi,660000,29001.9,786.0,1621560
boximag,616000,43641.1,669.8,1615364
Filmak20,548900,20036.3,370.0,1712794
poozkhand.tv,220000,3442.2,136.8,1543111
Cinemaon,1419000,28700.5,435.5,1501280
music.tiptop,990000,21984.4,332.1,1514939
banoo.page,660000,18425.5,177.0,1503178
perspolisfc.fans,990000,29538.4,358.7,1487133
majale.ashpazi,997500,21108.7,161.1,1481907
honarmandan_mahbob,726000,8396.1,267.8,1465657
Zhele_tak,715000,43252.8,329.3,1530436
Mixx_Pixx,1210000,444.1,0.5,1450456
pias_team,891000,11833.9,75.7,1446684
minimalha,660000,9189.7,63.3,1460644
fact_quiz,902000,23091.3,742.9,1425794
tazine_shik,1012000,11327.7,97.7,1414263
cart0onbaz,759000,22656.4,307.2,1385431
b_Music_P,715000,19008.9,318.3,1324465
movie.pars,132000,591.3,3.9,1325753
akharinkhabar,1760000,15899.6,486.2,1370056
VIDEO_4FUN,858000,23676.1,492.4,1299997
