username,avg_likes,avg_comments,followers,price
top_mixx,13199.2,158.6,2001518,979000
majaleye_banovan,16569.0,276.7,1898104,1320000
bazigaran.iraani,5354.0,96.1,1874649,550000
bedaanim,23139.0,149.1,1866362,374000
Dr_holakoue,27273.0,371.7,1849980,660000
hamedtabriziii,384564.2,309455.0,2990064,5500000
raze_jahan,45311.7,1423.1,1886138,396000
Asheghaneha_,24914.7,553.7,1829499,220000
hashiyeh_plus,18549.6,365.6,1847175,726000
Hashiye.news,529.5,8.6,1787211,880000
wonders237,24487.6,134.6,1716310,885500
ketab_am,60486.7,758.9,1712644,1092000
khalagh_banu,3338.8,83.6,1650057,275000
Aroose_mashreghi,1551.8,17.4,1642833,110000
unco.fact,12877.0,841.0,1628587,957000
clipcartooni,4564.6,41.9,1647279,781000
BesTV.shows,23448.7,262.5,1978203,1430000
Filmak20,20036.3,370.0,1712794,550000
poozkhand.tv,3442.2,136.8,1543111,165000
Cinemaon,28700.5,435.5,1501280,1298000
banoo.page,18425.5,177.0,1503178,990000
perspolisfc.fans,29538.4,358.7,1487133,990000
honarmandan_mahbob,8396.1,267.8,1465657,528000
pias_team,11833.9,75.7,1446684,891000
fact_quiz,23091.3,742.9,1425794,902000
minimalha,9189.7,63.3,1460644,462000
majale.ashpazi,21108.7,161.1,1481907,682500
Zhele_tak,43252.8,329.3,1530436,385000
tazine_shik,11327.7,97.7,1414263,528000
cart0onbaz,22656.4,307.2,1385431,660000
b_Music_P,19008.9,318.3,1324465,715000
movie.pars,591.3,3.9,1325753,82500
akharinkhabar,15899.6,486.2,1370056,1485000
Dor__fa,8051.5,141.8,1323681,465300
VIDEO_4FUN,23676.1,492.4,1299997,6050000
Dam30_ir,468.1,90.6,1259022,550000
ahange.ghadimi,19247.2,659.0,1445534,242000
Salamati_pezeshki,7551.3,217.9,1254239,330000
khabaarnegar,1495.3,75.3,1271579,99000
razebagha.official,13058.0,321.2,1842437,385000
bekhanid_bedanid,15279.8,205.9,1248338,330000
Ashpazi.sahar,32423.3,619.3,1261989,418000
Bebin_Funny,13792.3,151.0,1224063,660000
Honar_khalaghiat,4010.9,20.4,1224100,440000
3Kansgraphy,32126.6,202.7,1199593,330000
the.facts,8668.1,213.8,1206524,165000
tbshaeri,10430.8,352.4,1174061,616000
I.wonders,9065.4,302.3,1259907,165000
tv.mez,261258.4,6338.8,1172363,4226250
Aroose_royaei,661.0,7.5,1147660,55000
beroozim,14371.6,571.9,1123888,660000
alilohrasbioriginal,46450.6,8853.9,1155260,3885000
Zhele_majlesi,10373.2,67.7,1108136,275000
afaagh__,61762.2,821.8,1214088,660000
Photography_pose,11062.2,210.9,1065636,550000
fact_bomb,13617.9,327.4,1062590,462000
Bermodair,581.3,19.7,1075953,165000
chikhobe,8509.7,152.6,1076363,495000
Majalle__zibaii,80.8,0.8,1070204,55000
fact_factt,872.0,24.8,1057486,60500
Bufilms,3842.4,76.7,1053543,308000
kadbanohaa,8395.0,83.8,1038648,605000
perspolis64b,1656.0,172.0,1033088,33000
mahditabriziii,158878.5,11493.8,1757066,2420000
Doctore_shoma,2571.3,78.2,1046188,93500
Molanagram,14384.2,656.8,1035877,880000
bad_fact,850.8,37.1,1022284,110000
khanomipaz,5416.9,49.4,1011287,385000
namakstun,5537.9,64.8,969595,550000
chehrazimag,30229.9,216.4,1010550,528000
mediapry,1214.9,26.0,974006,66000
Donyaye_zibaii,6019.1,148.4,953977,121000
Mehdisaremi_tv,51501.5,4227.2,1004454,990000
dubsmash_clip_ir,10025.6,529.8,1001731,319000
Golrokh,4607.2,50.3,982961,330000
azin.fact,11620.8,190.9,1050061,1155000
Bazigaran.30nama,12700.8,460.7,985907,110000
Film1series,1608.8,62.3,992348,165000
woowclip,878.8,10.1,970523,66000
90tv.official,29891.2,980.0,988026,797500
aroosetehran,1825.5,31.5,947504,77000
maze.gardi,15208.3,149.1,919623,1012000
Vayner_clip,1732.1,18.8,928788,110000
Ghalbeahani,20308.0,151.8,1105872,319000
imazhart,27389.0,538.9,926245,440000
video.vayner,1857.7,11.0,912879,132000
koodakekhallagh,13576.7,179.8,949843,935000
labkhandook,8487.6,65.4,187807,192500
Fane_mehmani,1417.5,17.9,897801,99000
fesgheliha_,4925.2,51.5,910569,38500
Deer.fact,3985.0,88.8,1352488,330000
_know_the_world,19354.9,412.2,910512,401500
pediaworlds,13099.5,711.6,905756,605000
big.bangpage,23683.9,363.4,904475,209000
yadegarihaaaa,6437.7,166.7,860659,88000
pico_film,-1.0,111.6,849272,966000
Timetanz,12895.7,282.9,847649,330000
Behtarin_clip,6532.5,238.2,821783,330000
Super9va,18778.7,425.6,880682,146300
tarikhi.fact,1702.9,71.3,826688,88000
tomojerry.lovers,8477.1,32.1,818125,660000
Pediamovie,17895.2,313.6,796696,319000
ajayebkaade,1598.3,75.5,853513,110000
histography_insta,16733.0,364.4,1128419,154000
manzele_taze_arus,960.1,21.3,813809,110000
Cudoiin,17902.6,707.3,807242,385000
danstani.pezeshki,9712.1,134.8,780024,330000
